sample_index,g_value
159,20.167071807404326
160,20.170626267418882
161,20.174180727433438
162,20.17316516742929
163,20.1701184874168
164,20.169102927412638
165,20.171134047420963
166,20.17316516742929
167,20.17316516742929
168,20.172149607425126
169,20.170626267418882
170,20.171134047420963
171,20.172657387427208
172,20.174180727433438
173,20.17468850743552
174,20.17367294743137
175,20.172657387427208
176,20.17367294743137
177,20.175704067439682
178,20.17468850743552
179,20.170626267418882
180,20.167579587406408
181,20.16808736740849
182,20.171134047420963
183,20.174180727433438
184,20.175704067439682
185,20.17367294743137
186,20.1701184874168
187,20.16808736740849
188,20.16961070741472
189,20.17367294743137
190,20.174180727433438
191,20.172149607425126
192,20.171134047420963
193,20.172657387427208
194,20.17316516742929
195,20.172657387427208
196,20.17316516742929
197,20.17316516742929
198,20.171641827423045
199,20.16961070741472
200,20.16808736740849
201,20.16859514741057
202,20.16961070741472
203,20.170626267418882
204,20.171641827423045
205,20.171641827423045
206,20.171134047420963
207,20.1701184874168
208,20.169102927412638
209,20.16961070741472
210,20.171134047420963
211,20.171134047420963
212,20.16961070741472
213,20.16808736740849
214,20.167579587406408
215,20.16808736740849
216,20.16808736740849
217,20.16808736740849
218,20.171134047420963
219,20.17468850743552
220,20.172657387427208
221,20.166564027402245
222,20.16453290739392
223,20.16859514741057
224,20.172657387427208
225,20.17316516742929
226,20.171134047420963
227,20.1701184874168
228,20.172149607425126
229,20.17367294743137
230,20.17316516742929
231,20.1701184874168
232,20.16808736740849
233,20.169102927412638
234,20.172657387427208
235,20.17316516742929
236,20.171134047420963
237,20.171134047420963
238,20.17367294743137
239,20.174180727433438
240,20.171134047420963
241,20.166056247400164
242,20.164025127391852
243,20.165548467398082
244,20.16961070741472
245,20.172149607425126
246,20.171641827423045
247,20.16961070741472
248,20.171134047420963
249,20.17468850743552
250,20.175704067439682
251,20.17316516742929
252,20.170626267418882
253,20.1701184874168
254,20.170626267418882
255,20.171641827423045
256,20.172149607425126
257,20.171134047420963
258,20.169102927412638
259,20.170626267418882
260,20.172657387427208
261,20.171641827423045
262,20.16808736740849
263,20.166564027402245
264,20.16859514741057
265,20.172657387427208
266,20.175704067439682
267,20.17468850743552
268,20.172149607425126
269,20.1701184874168
270,20.16859514741057
271,20.16961070741472
272,20.17316516742929
