sample_index,raw_value,g_value
777,137426,19.782174565827788
778,137419,19.778620105813232
779,137410,19.774050085794514
780,137403,19.770495625779944
781,137406,19.772018965786188
782,137416,19.777096765806988
783,137424,19.781159005823625
784,137427,19.78268234582987
785,137426,19.782174565827788
786,137423,19.780651225821543
787,137422,19.780143445819462
788,137421,19.77963566581738
789,137419,19.778620105813232
790,137417,19.77760454580907
791,137415,19.776588985804906
792,137413,19.775573425800744
793,137415,19.776588985804906
794,137417,19.77760454580907
795,137419,19.778620105813232
796,137421,19.77963566581738
797,137421,19.77963566581738
798,137421,19.77963566581738
799,137423,19.780651225821543
800,137423,19.780651225821543
801,137418,19.77811232581115
802,137415,19.776588985804906
803,137420,19.779127885815313
804,137426,19.782174565827788
805,137426,19.782174565827788
806,137420,19.779127885815313
807,137417,19.77760454580907
808,137421,19.77963566581738
809,137427,19.78268234582987
810,137430,19.7842056858361
811,137430,19.7842056858361
812,137427,19.78268234582987
813,137426,19.782174565827788
814,137425,19.781666785825706
815,137425,19.781666785825706
816,137424,19.781159005823625
817,137424,19.781159005823625
818,137424,19.781159005823625
819,137419,19.778620105813232
820,137413,19.775573425800744
821,137409,19.773542305792432
822,137410,19.774050085794514
823,137413,19.775573425800744
824,137418,19.77811232581115
825,137421,19.77963566581738
826,137420,19.779127885815313
827,137418,19.77811232581115
828,137417,19.77760454580907
829,137417,19.77760454580907
830,137417,19.77760454580907
831,137413,19.775573425800744
832,137407,19.77252674578827
833,137407,19.77252674578827
834,137415,19.776588985804906
835,137425,19.781666785825706
836,137429,19.783697905834032
837,137424,19.781159005823625
838,137419,19.778620105813232
839,137420,19.779127885815313
840,137421,19.77963566581738
841,137420,19.779127885815313
842,137420,19.779127885815313
843,137422,19.780143445819462
844,137422,19.780143445819462
845,137423,19.780651225821543
846,137424,19.781159005823625
847,137425,19.781666785825706
848,137425,19.781666785825706
849,137425,19.781666785825706
850,137425,19.781666785825706
851,137424,19.781159005823625
852,137423,19.780651225821543
853,137420,19.779127885815313
854,137419,19.778620105813232
855,137421,19.77963566581738
856,137425,19.781666785825706
857,137425,19.781666785825706
858,137416,19.777096765806988
859,137407,19.77252674578827
860,137411,19.774557865796595
861,137424,19.781159005823625
862,137427,19.78268234582987
863,137419,19.778620105813232
864,137412,19.775065645798662
865,137416,19.777096765806988
866,137421,19.77963566581738
867,137420,19.779127885815313
868,137418,19.77811232581115
869,137419,19.778620105813232
870,137421,19.77963566581738
871,137417,19.77760454580907
872,137409,19.773542305792432
873,137404,19.771003405782025
874,137409,19.773542305792432
875,137418,19.77811232581115
876,137420,19.779127885815313
877,137413,19.775573425800744
878,137407,19.77252674578827
879,137408,19.77303452579035
880,137416,19.777096765806988
881,137423,19.780651225821543
882,137424,19.781159005823625
883,137420,19.779127885815313
884,137417,19.77760454580907
885,137419,19.778620105813232
886,137424,19.781159005823625
887,137427,19.78268234582987
888,137427,19.78268234582987
889,137424,19.781159005823625
890,137418,19.77811232581115
891,137414,19.776081205802825
892,137412,19.775065645798662
893,137411,19.774557865796595
894,137412,19.775065645798662
895,137418,19.77811232581115
896,137424,19.781159005823625
897,137426,19.782174565827788
898,137421,19.77963566581738
899,137416,19.777096765806988
900,137416,19.777096765806988
901,137415,19.776588985804906
902,137410,19.774050085794514
903,137403,19.770495625779944
904,137401,19.769480065775795
905,137407,19.77252674578827
906,137413,19.775573425800744
907,137412,19.775065645798662
908,137409,19.773542305792432
909,137410,19.774050085794514
910,137416,19.777096765806988
911,137421,19.77963566581738
912,137426,19.782174565827788
913,137427,19.78268234582987
914,137425,19.781666785825706
915,137423,19.780651225821543
916,137421,19.77963566581738
917,137422,19.780143445819462
918,137424,19.781159005823625
919,137422,19.780143445819462
920,137415,19.776588985804906
921,137416,19.777096765806988
922,137423,19.780651225821543
923,137429,19.783697905834032
924,137431,19.78471346583818
925,137428,19.78319012583195
926,137423,19.780651225821543
927,137416,19.777096765806988
928,137412,19.775065645798662
929,137411,19.774557865796595
930,137412,19.775065645798662
931,137413,19.775573425800744
932,137415,19.776588985804906
933,137418,19.77811232581115
934,137420,19.779127885815313
935,137423,19.780651225821543
936,137428,19.78319012583195
937,137430,19.7842056858361
938,137423,19.780651225821543
939,137418,19.77811232581115
940,137422,19.780143445819462
941,137431,19.78471346583818
942,137436,19.787252365848587
943,137435,19.786744585846506
944,137430,19.7842056858361
945,137427,19.78268234582987
946,137422,19.780143445819462
947,137414,19.776081205802825
948,137412,19.775065645798662
949,137419,19.778620105813232
950,137425,19.781666785825706
951,137423,19.780651225821543
952,137417,19.77760454580907
953,137412,19.775065645798662
954,137409,19.773542305792432
955,137408,19.77303452579035
956,137409,19.773542305792432
957,137407,19.77252674578827
958,137404,19.771003405782025
959,137408,19.77303452579035
960,137420,19.779127885815313
961,137430,19.7842056858361
962,137433,19.785729025842343
963,137429,19.783697905834032
964,137425,19.781666785825706
965,137424,19.781159005823625
966,137423,19.780651225821543
967,137422,19.780143445819462
968,137420,19.779127885815313
969,137418,19.77811232581115
970,137415,19.776588985804906
971,137416,19.777096765806988
972,137423,19.780651225821543
973,137430,19.7842056858361
974,137430,19.7842056858361
975,137427,19.78268234582987
976,137428,19.78319012583195
977,137430,19.7842056858361
978,137430,19.7842056858361
979,137423,19.780651225821543
980,137414,19.776081205802825
981,137414,19.776081205802825
982,137427,19.78268234582987
983,137438,19.78826792585275
984,137436,19.787252365848587
985,137425,19.781666785825706
986,137416,19.777096765806988
987,137410,19.774050085794514
988,137407,19.77252674578827
989,137405,19.771511185784107
990,137409,19.773542305792432
991,137419,19.778620105813232
992,137427,19.78268234582987
993,137425,19.781666785825706
994,137419,19.778620105813232
995,137419,19.778620105813232
996,137422,19.780143445819462
997,137424,19.781159005823625
998,137425,19.781666785825706
999,137425,19.781666785825706
1000,137423,19.780651225821543
1001,137419,19.778620105813232
1002,137418,19.77811232581115
1003,137419,19.778620105813232
1004,137420,19.779127885815313
1005,137420,19.779127885815313
1006,137423,19.780651225821543
1007,137425,19.781666785825706
1008,137422,19.780143445819462
1009,137414,19.776081205802825
1010,137408,19.77303452579035
1011,137407,19.77252674578827
1012,137410,19.774050085794514
1013,137415,19.776588985804906
1014,137419,19.778620105813232
1015,137422,19.780143445819462
1016,137423,19.780651225821543
1017,137423,19.780651225821543
1018,137424,19.781159005823625
1019,137422,19.780143445819462
1020,137420,19.779127885815313
1021,137419,19.778620105813232
1022,137417,19.77760454580907
1023,137416,19.777096765806988
1024,137418,19.77811232581115
1025,137421,19.77963566581738
1026,137420,19.779127885815313
1027,137414,19.776081205802825
1028,137406,19.772018965786188
1029,137403,19.770495625779944
1030,137409,19.773542305792432
1031,137417,19.77760454580907
1032,137420,19.779127885815313
1033,137420,19.779127885815313
1034,137419,19.778620105813232
1035,137427,19.78268234582987
1036,137440,19.7892834858569
1037,137442,19.79029904586106
1038,137430,19.7842056858361
1039,137419,19.778620105813232
1040,137417,19.77760454580907
1041,137418,19.77811232581115
1042,137417,19.77760454580907
1043,137418,19.77811232581115
1044,137423,19.780651225821543
1045,137424,19.781159005823625
1046,137420,19.779127885815313
1047,137415,19.776588985804906
1048,137414,19.776081205802825
1049,137415,19.776588985804906
1050,137414,19.776081205802825
1051,137413,19.775573425800744
1052,137414,19.776081205802825
1053,137419,19.778620105813232
1054,137422,19.780143445819462
1055,137423,19.780651225821543
1056,137421,19.77963566581738
1057,137419,19.778620105813232
1058,137418,19.77811232581115
1059,137422,19.780143445819462
1060,137427,19.78268234582987
1061,137429,19.783697905834032
1062,137426,19.782174565827788
1063,137422,19.780143445819462
1064,137419,19.778620105813232
1065,137419,19.778620105813232
