frequency_hz,amplitude_g_peak
96.2000027241532,4.7841398757295675e-05
96.40000272981672,8.258286269420155e-05
96.60000273548025,0.00010306195195464597
96.80000274114376,4.3075536437548485e-05
97.00000274680728,3.435622551953905e-05
97.2000027524708,2.2279207992574167e-05
97.40000275813432,1.026288049270392e-05
97.60000276379785,2.3861103748886415e-05
97.80000276946136,1.7047559657968296e-05
98.00000277512488,7.095340496196904e-06
98.2000027807884,5.783238157182391e-06
98.40000278645192,2.6046003539102414e-07
98.60000279211545,3.1615136626081794e-05
98.80000279777896,2.3712650985149483e-05
99.00000280344248,2.6785330810108265e-05
99.200002809106,1.7569288658408873e-05
99.40000281476952,8.671006933988896e-05
99.60000282043305,0.00012069032679311133
99.80000282609656,7.17057047959214e-05
100.00000283176009,3.388368653633777e-05
100.2000028374236,4.0272118617179315e-05
100.40000284308712,2.3689926130480875e-05
100.60000284875065,5.0554917372177155e-05
100.80000285441416,2.4711526821557544e-05
101.00000286007769,3.4379632129743e-05
101.2000028657412,8.576697957937549e-05
101.40000287140472,8.628192809531479e-05
101.60000287706825,7.753686535886085e-05
101.80000288273176,7.531604342011394e-05
102.00000288839529,0.00011034739195424316
102.2000028940588,0.00013218552946546105
102.40000289972232,5.762838238599349e-05
102.60000290538585,6.0070245373683964e-06
102.80000291104936,4.300723737283289e-05
103.00000291671289,5.285394549607097e-05
103.2000029223764,2.696768303892172e-05
103.40000292803992,7.110749227363147e-05
103.60000293370345,3.2763998204785964e-05
103.80000293936696,7.002535540995244e-05
104.00000294503049,6.668715711558653e-05
104.200002950694,1.4510393929562383e-05
104.40000295635753,3.156270334285174e-05
104.60000296202105,5.682230733653152e-05
104.80000296768456,8.41052805172243e-05
105.00000297334809,0.0001620856979228727
105.2000029790116,0.00011533032609407173
105.40000298467513,6.866354231837643e-05
105.60000299033865,0.00010150334932046338
105.80000299600216,6.472872994956598e-05
106.00000300166569,1.6012685312170492e-05
106.2000030073292,5.391330053296002e-05
106.40000301299273,3.460888126717083e-05
106.60000301865625,8.014705983498112e-05
106.80000302431976,2.9137962731185597e-05
107.00000302998329,8.898050190848448e-05
107.2000030356468,6.6996755443327e-05
107.40000304131033,1.5796920369635704e-05
107.60000304697385,5.304852256853102e-05
107.80000305263736,2.8637638983559265e-05
108.00000305830089,0.00010230466257491278
108.2000030639644,9.186110409563885e-05
108.40000306962793,9.634480841136983e-05
108.60000307529145,0.00010350057003678243
108.80000308095497,8.509832454523139e-05
109.00000308661849,0.00010381239630566655
109.200003092282,0.00010652509595653329
109.40000309794553,7.53300503663342e-05
109.60000310360905,5.001463032791495e-05
109.80000310927257,4.352389241095505e-05
110.00000311493609,3.970742135897461e-05
110.2000031205996,7.638011650134705e-06
110.40000312626313,1.656261226696802e-05
110.60000313192666,6.994344331827631e-05
110.80000313759017,5.238978218697461e-05
111.00000314325369,7.389065316949915e-05
111.2000031489172,9.383400315972869e-05
111.40000315458073,0.0001418441532371664
111.60000316024426,0.00011022396308666942
111.80000316590777,3.962536260217455e-05
112.0000031715713,8.949624777871969e-05
112.2000031772348,7.899528877040036e-05
112.40000318289833,3.715230720276153e-05
112.60000318856186,7.961082485358984e-05
112.80000319422537,4.657571502717851e-05
113.0000031998889,2.3200711275069182e-05
113.2000032055524,4.6369363830625115e-05
113.40000321121593,3.0413621108878198e-05
113.60000321687946,3.9268912084494e-05
113.80000322254297,3.922686140196405e-05
114.0000032282065,5.002435045316813e-05
114.20000323387,4.723493105151912e-05
114.40000323953353,4.231094487741972e-05
114.60000324519706,8.62273133503575e-05
114.80000325086057,8.470014980749014e-05
115.0000032565241,1.5086683117270611e-05
115.20000326218761,6.699638820410121e-05
115.40000326785113,6.57169168959454e-05
115.60000327351466,2.279366599753584e-05
115.80000327917817,7.379986185975387e-05
116.0000032848417,0.00010136090843477633
116.20000329050522,8.281709883963602e-05
116.40000329616873,3.576219214176025e-05
116.60000330183226,3.429070432498743e-05
116.80000330749577,6.605966612769879e-05
117.0000033131593,8.220936649891327e-05
117.20000331882282,6.064058350883538e-05
117.40000332448633,5.635329826316184e-06
117.60000333014986,4.366776261417184e-05
117.80000333581337,7.276916320377847e-05
118.0000033414769,9.80458674806724e-05
118.20000334714042,7.574520706935548e-05
118.40000335280394,6.152165435333438e-05
118.60000335846746,3.859041539999792e-05
118.80000336413097,5.708112228823299e-05
119.0000033697945,8.556809362529569e-05
119.20000337545802,5.08626942583393e-05
119.40000338112154,3.524281838230708e-05
119.60000338678506,2.4192296229752464e-05
119.80000339244857,3.210648153242035e-05
120.0000033981121,8.229524033101728e-05
120.20000340377563,1.2639978003009248e-05
120.40000340943914,5.437792345346475e-05
120.60000341510266,3.5903332858354945e-05
120.80000342076617,5.707489022669724e-06
121.0000034264297,4.370779919342428e-05
121.20000343209323,1.6727443742194994e-05
121.40000343775674,4.250454092786247e-06
121.60000344342026,3.477488174477295e-05
121.80000344908377,4.092128926632886e-05
122.0000034547473,2.4430055163977463e-05
122.20000346041083,3.4182464970842515e-05
122.40000346607434,2.621293938138987e-05
122.60000347173786,4.271694643388484e-05
122.80000347740138,8.345607370901659e-05
123.0000034830649,5.8649547811385135e-05
123.20000348872843,1.6100082942088837e-05
123.40000349439194,6.830892984373909e-05
123.60000350005546,7.802832746864896e-05
123.80000350571898,5.9689546198967197e-05
124.0000035113825,5.552358933049704e-05
124.20000351704603,3.9958024278740645e-05
124.40000352270954,4.4367650799386716e-05
124.60000352837307,8.627669033120238e-05
124.80000353403658,0.00010911627964961769
125.0000035397001,0.00010914236049823159
125.20000354536363,9.829771064307348e-05
125.40000355102714,7.672927831864414e-05
125.60000355669067,3.809696166940421e-05
125.80000356235418,9.935796914349323e-06
126.0000035680177,3.588529175499373e-05
126.20000357368123,6.579924193353374e-05
126.40000357934474,5.3569578134970705e-05
126.60000358500827,3.521853081494532e-05
126.80000359067178,8.77345359397094e-05
127.0000035963353,3.514586195003762e-05
127.20000360199883,5.2625558713234754e-05
127.40000360766234,1.2277288189295324e-05
127.60000361332587,5.175640548936662e-05
127.80000361898938,7.756199063248269e-05
128.0000036246529,6.039293985574238e-05
128.20000363031642,5.8919182029012675e-05
128.40000363597994,6.55429510160985e-05
128.60000364164347,2.717044143092237e-05
128.800003647307,1.5077755401213583e-05
129.00000365297052,8.058735573823343e-06
129.20000365863402,2.481422132189016e-05
129.40000366429754,3.796727641453564e-05
129.60000366996107,5.847350404648527e-05
129.8000036756246,3.786369604407648e-05
130.00000368128812,7.269628635393131e-05
130.20000368695162,0.0001164351652840253
130.40000369261514,0.00011134549484509528
130.60000369827867,3.5376645876255874e-05
130.8000037039422,5.139077831267132e-06
131.00000370960572,1.6640274871910606e-05
131.20000371526922,4.331735754302914e-05
131.40000372093274,2.4896493913530928e-05
131.60000372659627,2.329252207786649e-05
131.8000037322598,4.477527980551454e-05
132.00000373792332,6.426313057599382e-05
132.20000374358682,5.501549373650509e-05
132.40000374925035,2.3074507177971868e-05
132.60000375491387,4.587962475298875e-06
132.8000037605774,5.851274423395971e-05
133.00000376624092,3.790232169176215e-05
